H_NIVO.NUM_POSTE;H_NIVO.ALTI_LPNX;H_NIVO.DAT
5063407;1400;2022-02-08 06:00:00
5063407;1400;2022-02-11 06:00:00
5063407;1400;2022-02-16 06:00:00
5063407;2600;2022-02-17 06:00:00
5063407;2400;2022-02-18 06:00:00
5063407;1400;2022-02-22 06:00:00
5063407;2400;2022-04-21 06:00:00
5063407;1400;2022-04-25 06:00:00
5063410;2000;2021-12-27 06:00:00
5063410;3000;2021-12-30 06:00:00
5063410;1400;2022-01-08 06:00:00
5063410;1500;2022-01-10 06:00:00
5063410;2400;2022-02-17 06:00:00
5063410;1800;2022-03-30 06:00:00
5063410;1500;2022-04-04 06:00:00
5064403;3100;2021-09-16 06:00:00
5064403;2300;2021-09-19 06:00:00
5064403;2700;2021-09-20 06:00:00
5064403;2700;2021-09-26 12:00:00
5064403;2600;2021-10-04 12:00:00
5064403;2500;2021-10-05 06:00:00
5064403;2400;2021-10-30 12:00:00
5064403;2500;2021-10-31 06:00:00
5064403;2800;2021-10-31 12:00:00
5064403;2600;2021-11-01 06:00:00
5064403;2100;2021-11-01 12:00:00
5064403;1700;2021-11-02 06:00:00
5064403;1900;2021-11-03 06:00:00
5064403;1800;2021-11-03 12:00:00
5064403;1300;2021-11-04 06:00:00
5064403;1500;2021-11-25 06:00:00
5064403;1500;2021-11-25 12:00:00
5064403;1200;2021-11-27 06:00:00
5064403;1270;2021-11-28 06:00:00
5064403;1270;2021-11-28 12:00:00
5064403;1250;2021-11-29 06:00:00
5064403;1270;2021-12-02 06:00:00
5064403;1270;2021-12-03 06:00:00
5064403;1400;2021-12-04 06:00:00
5064403;1500;2021-12-04 12:00:00
5064403;1250;2021-12-05 06:00:00
5064403;1200;2021-12-07 06:00:00
5064403;1270;2021-12-08 06:00:00
5064403;1270;2021-12-08 12:00:00
5064403;1300;2021-12-09 06:00:00
5064403;1300;2021-12-10 06:00:00
5064403;1300;2021-12-10 12:00:00
5064403;1270;2021-12-11 06:00:00
5064403;2200;2021-12-25 06:00:00
5064403;1900;2021-12-25 12:00:00
5064403;1300;2021-12-27 12:00:00
5064403;1600;2021-12-28 06:00:00
5064403;1700;2021-12-28 12:00:00
5064403;2000;2021-12-29 06:00:00
5064403;2300;2021-12-29 12:00:00
5064403;2300;2021-12-30 06:00:00
5064403;1300;2022-01-05 06:00:00
5064403;1270;2022-01-08 06:00:00
5064403;1270;2022-01-08 12:00:00
5064403;1270;2022-01-09 06:00:00
5064403;1300;2022-01-09 12:00:00
5064403;1270;2022-01-10 06:00:00
5064403;1270;2022-01-20 06:00:00
5064403;1200;2022-02-01 06:00:00
5064403;1270;2022-02-02 06:00:00
5064403;1300;2022-02-07 06:00:00
5064403;1270;2022-02-11 06:00:00
5064403;1600;2022-02-14 06:00:00
5064403;1400;2022-02-14 12:00:00
5064403;1270;2022-02-15 06:00:00
5064403;1300;2022-02-21 06:00:00
5064403;1500;2022-02-21 12:00:00
5064403;1270;2022-02-22 06:00:00
5064403;1500;2022-03-13 06:00:00
5064403;1400;2022-03-13 12:00:00
5064403;1300;2022-03-14 06:00:00
5064403;1800;2022-03-15 06:00:00
5064403;1700;2022-03-21 06:00:00
5064403;1700;2022-03-30 06:00:00
5064403;1700;2022-03-31 06:00:00
5064403;1400;2022-04-01 06:00:00
5064403;1270;2022-04-01 12:00:00
5064403;1200;2022-04-02 06:00:00
5064403;1300;2022-04-04 06:00:00
5064403;1700;2022-04-07 06:00:00
5064403;1700;2022-04-07 12:00:00
5064403;1500;2022-04-08 06:00:00
5064403;1700;2022-04-09 06:00:00
5064403;2400;2022-04-23 06:00:00
5064403;2000;2022-04-23 12:00:00
5064403;1300;2022-04-24 06:00:00
5064403;1700;2022-04-25 06:00:00
5064403;2200;2022-05-01 06:00:00
5064403;2400;2022-05-03 06:00:00
5064403;2400;2022-05-03 12:00:00
5064403;2200;2022-05-04 06:00:00
5064403;2800;2022-06-09 06:00:00
5064403;2800;2022-06-24 12:00:00
5079400;1500;2021-12-10 06:00:00
5079400;1500;2021-12-10 12:00:00
5079400;1500;2021-12-11 06:00:00
5079400;1700;2021-12-25 06:00:00
5079400;1500;2021-12-25 12:00:00
5079400;1500;2021-12-26 06:00:00
5079400;1500;2021-12-27 12:00:00
5079400;1500;2021-12-28 06:00:00
5079400;1500;2021-12-28 12:00:00
5079400;2100;2021-12-29 12:00:00
5079400;1500;2022-01-05 06:00:00
5079400;1500;2022-01-05 12:00:00
5079400;1500;2022-01-08 06:00:00
5079400;1500;2022-01-09 06:00:00
5079400;1500;2022-01-09 12:00:00
5079400;1500;2022-01-10 06:00:00
5079400;2100;2022-02-07 06:00:00
5079400;2100;2022-02-11 06:00:00
5079400;2100;2022-02-11 12:00:00
5079400;1500;2022-02-14 06:00:00
5079400;1500;2022-02-14 12:00:00
5079400;1500;2022-02-15 06:00:00
5079400;1500;2022-02-16 12:00:00
5079400;1800;2022-02-19 06:00:00
5079400;1500;2022-02-21 06:00:00
5079400;1500;2022-02-21 12:00:00
5079400;1500;2022-02-22 06:00:00
5079400;1500;2022-03-12 06:00:00
5079400;1500;2022-03-12 12:00:00
5079400;1500;2022-03-13 06:00:00
5079400;1500;2022-03-13 12:00:00
5079400;1500;2022-03-14 06:00:00
5079400;1500;2022-03-15 06:00:00
5079400;1600;2022-03-30 06:00:00
5079400;1600;2022-03-30 12:00:00
5079400;1600;2022-04-01 06:00:00
5079400;1500;2022-04-02 06:00:00
5079400;1500;2022-04-04 06:00:00
5079400;1800;2022-04-07 12:00:00
5079400;2100;2022-04-08 06:00:00
5079400;1800;2022-04-08 12:00:00
5079400;1900;2022-04-09 06:00:00
5085403;2100;2021-12-25 06:00:00
5085403;1800;2021-12-26 06:00:00
5085403;1300;2021-12-28 06:00:00
5085403;2350;2021-12-29 06:00:00
5085403;2400;2021-12-30 06:00:00
5085403;1800;2022-01-05 06:00:00
5085403;1300;2022-01-08 06:00:00
5085403;1300;2022-01-09 06:00:00
5085403;1300;2022-01-10 06:00:00
5085403;1300;2022-02-01 06:00:00
5085403;1400;2022-02-13 06:00:00
5085403;1300;2022-02-14 06:00:00
5085403;1200;2022-02-15 06:00:00
5085403;1800;2022-02-21 06:00:00
5085403;1800;2022-02-22 06:00:00
5085403;1800;2022-03-12 06:00:00
5085403;1800;2022-03-13 06:00:00
5085403;1400;2022-03-14 06:00:00
5085403;1650;2022-03-15 06:00:00
5085403;1800;2022-03-20 06:00:00
5085403;1800;2022-03-30 06:00:00
5085403;1900;2022-03-31 06:00:00
5085403;2150;2022-04-01 06:00:00
5085403;1300;2022-04-02 06:00:00
5085403;1750;2022-04-07 06:00:00
5085403;1850;2022-04-08 06:00:00
5085403;2400;2022-04-09 06:00:00
5085403;2000;2022-04-10 06:00:00
5096402;1100;2021-12-08 12:00:00
5096402;750;2021-12-10 12:00:00
5096402;750;2021-12-11 06:00:00
5096402;1900;2021-12-24 06:00:00
5096402;1800;2021-12-27 12:00:00
5096402;1450;2021-12-28 06:00:00
5096402;2300;2021-12-29 06:00:00
5096402;2500;2021-12-29 12:00:00
5096402;2600;2021-12-30 06:00:00
5096402;1400;2022-01-05 06:00:00
5096402;1200;2022-01-08 06:00:00
5096402;1100;2022-01-09 06:00:00
5096402;1100;2022-01-09 12:00:00
5096402;1600;2022-01-10 06:00:00
5096402;1800;2022-02-13 06:00:00
5096402;1400;2022-02-14 06:00:00
5096402;1000;2022-02-15 06:00:00
5096402;1700;2022-02-21 06:00:00
5096402;1300;2022-02-22 06:00:00
5096402;1500;2022-02-28 06:00:00
5096402;1800;2022-03-13 06:00:00
5096402;1300;2022-03-14 06:00:00
5096402;1850;2022-03-15 06:00:00
5096402;1600;2022-03-30 06:00:00
5096402;1900;2022-03-31 06:00:00
5096402;1200;2022-04-02 06:00:00
5096402;1200;2022-04-04 06:00:00
5096402;2200;2022-04-08 06:00:00
5096402;1600;2022-04-08 12:00:00
5096402;2100;2022-04-09 06:00:00
5098402;2400;2021-12-24 06:00:00
5098402;2700;2021-12-25 06:00:00
5098402;1800;2021-12-25 12:00:00
5098402;1600;2021-12-27 12:00:00
5098402;1800;2021-12-28 06:00:00
5098402;2100;2021-12-29 06:00:00
5098402;1650;2022-01-08 12:00:00
5098402;1650;2022-01-09 06:00:00
5098402;1650;2022-01-10 06:00:00
5098402;1895;2022-02-14 06:00:00
5098402;1000;2022-02-15 06:00:00
5098402;1900;2022-02-21 06:00:00
5098402;1650;2022-02-22 06:00:00
5098402;1600;2022-03-13 06:00:00
5098402;1100;2022-03-14 06:00:00
5098402;1800;2022-03-15 06:00:00
5098402;1650;2022-03-29 06:00:00
5098402;1600;2022-04-01 06:00:00
5098402;1400;2022-04-02 06:00:00
5098402;1600;2022-04-04 06:00:00
5098402;2200;2022-04-08 06:00:00
5101400;1500;2021-11-04 06:00:00
5101400;1500;2021-11-26 06:00:00
5101400;1270;2021-11-27 06:00:00
5101400;1270;2021-11-28 06:00:00
5101400;1200;2021-11-29 06:00:00
5101400;2200;2021-12-25 06:00:00
5101400;2100;2021-12-26 06:00:00
5101400;2000;2021-12-27 06:00:00
5101400;1200;2021-12-28 06:00:00
5101400;2000;2021-12-29 06:00:00
5101400;2200;2021-12-30 06:00:00
5101400;1500;2022-01-05 06:00:00
5101400;1270;2022-01-08 06:00:00
5101400;1270;2022-01-09 06:00:00
5101400;1270;2022-01-10 06:00:00
5101400;1270;2022-02-14 06:00:00
5101400;1270;2022-02-15 06:00:00
5101400;1270;2022-02-22 06:00:00
5101400;1270;2022-03-13 06:00:00
5101400;1270;2022-03-14 06:00:00
5101400;1500;2022-03-15 06:00:00
5101400;1500;2022-03-30 06:00:00
5101400;1270;2022-04-09 06:00:00
5101400;2300;2022-04-21 06:00:00
5101400;1700;2022-04-23 06:00:00
5101400;1270;2022-04-24 06:00:00
5110400;1800;2021-12-24 12:00:00
5110400;1800;2021-12-25 06:00:00
5110400;1800;2021-12-25 12:00:00
5110400;1800;2021-12-26 06:00:00
5110400;1200;2021-12-28 06:00:00
5110400;1400;2021-12-28 12:00:00
5110400;2500;2021-12-29 06:00:00
5110400;2300;2021-12-29 12:00:00
5110400;2300;2021-12-30 06:00:00
5110400;1400;2022-01-08 06:00:00
5110400;1400;2022-01-08 12:00:00
5110400;1400;2022-01-09 06:00:00
5110400;1400;2022-01-09 12:00:00
5110400;1400;2022-01-10 06:00:00
5110400;1200;2022-02-14 06:00:00
5110400;1200;2022-02-14 12:00:00
5110400;1200;2022-02-15 06:00:00
5110400;1400;2022-02-21 06:00:00
5110400;1400;2022-02-21 12:00:00
5110400;1200;2022-02-22 06:00:00
5110400;1600;2022-03-12 06:00:00
5110400;1400;2022-03-13 06:00:00
