Q.dat;Q.num_poste;poste_nivo.nom_usuel;poste_nivo.alti;poste_nivo.lat_dg;poste_nivo.lon_dg;poste_nivo.massif_nivo;Q.rr;hist_reseau_poste.reseau_poste
2022-02-06 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-07 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-08 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-09 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-10 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-11 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-12 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-13 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;18.5;51
2022-02-14 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;22.5;51
2022-02-15 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-16 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.6;51
2022-02-17 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-18 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-19 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-21 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;2.0;51
2022-02-22 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-23 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-25 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-26 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-02-27 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.1;51
2022-02-28 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-01 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-02 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-03 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-04 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-05 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-06 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-07 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-08 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-09 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-10 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-11 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-12 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;2.6;51
2022-03-13 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;17.8;51
2022-03-14 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;7.5;51
2022-03-15 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-16 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-17 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-18 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-19 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-21 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-22 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-23 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-25 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-26 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-27 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-28 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-03-29 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;4.3;51
2022-03-31 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.6;51
2022-04-01 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.5;51
2022-04-02 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-04-03 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;3.0;51
2022-04-04 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-04-05 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2022-04-06 00:00:00;4006400;La Foux d Allos;1900;44.289833;6.561667;22;0.0;51
2021-12-13 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2021-12-17 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2021-12-19 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2021-12-22 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2021-12-24 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;1.0;51
2021-12-27 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;10.4;51
2021-12-29 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2021-12-30 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2021-12-31 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-01 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-02 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-03 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-04 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;2.6;51
2022-01-06 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-07 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.5;51
2022-01-09 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;4.4;51
2022-01-10 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-11 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-12 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-13 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-14 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-15 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-16 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-17 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-18 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-19 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-20 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-21 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-22 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-24 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-01-26 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
