date;num_poste;rr_antilope
2021-11-01 06:00:00;73318400.0;9.625
2021-11-01 06:00:00;73318401.0;9.5625
2021-11-01 06:00:00;5120002.0;0.1875
2021-11-01 06:00:00;13056002.0;2.1875
2021-11-01 06:00:00;73232400.0;0.875
2021-11-01 06:00:00;73232401.0;1.9375
2021-11-01 06:00:00;38527001.0;10.1875
2021-11-01 06:00:00;5007400.0;2.375
2021-11-01 06:00:00;73257001.0;4.75
2021-11-01 06:00:00;73257003.0;3.375
2021-11-01 06:00:00;13054001.0;2.5625
2021-11-01 06:00:00;5177401.0;3.0625
2021-11-01 06:00:00;6099004.0;7.125
2021-11-01 06:00:00;6056001.0;21.25
2021-11-01 06:00:00;6056005.0;8.375
2021-11-01 06:00:00;74268001.0;26.375
2021-11-01 06:00:00;38269004.0;17.875
2021-11-01 06:00:00;4100401.0;1.6875
2021-11-01 06:00:00;73144404.0;1.375
2021-11-01 06:00:00;73144405.0;1.75
2021-11-01 06:00:00;73255001.0;7.125
2021-11-01 06:00:00;204042331.0;2.1875
2021-11-01 06:00:00;74236002.0;6.6875
2021-11-01 06:00:00;38442001.0;26.0625
2021-11-01 06:00:00;73015400.0;3.875
2021-11-01 06:00:00;4049001.0;2.5
2021-11-01 06:00:00;4006001.0;5.6875
2021-11-01 06:00:00;4006006.0;4.875
2021-11-01 06:00:00;4219001.0;7.375
2021-11-01 06:00:00;4219004.0;7.375
2021-11-01 06:00:00;74270400.0;14.125
2021-11-01 06:00:00;73040005.0;2.3125
2021-11-01 06:00:00;73040006.0;3.375
2021-11-01 06:00:00;73144001.0;0.5625
2021-11-01 06:00:00;5157001.0;1.625
2021-11-01 06:00:00;5157002.0;1.625
2021-11-01 06:00:00;5157003.0;1.125
2021-11-01 06:00:00;74080401.0;12.9375
2021-11-01 06:00:00;73167001.0;6.25
2021-11-01 06:00:00;74191003.0;9.125
2021-11-01 06:00:00;7076001.0;27.5
2021-11-01 06:00:00;5096401.0;14.25
2021-11-01 06:00:00;84031001.0;15.5625
2021-11-01 06:00:00;74182001.0;26.1875
2021-11-01 06:00:00;5044400.0;1.6875
2021-11-01 06:00:00;6029001.0;2.5
2021-11-01 06:00:00;5001400.0;0.625
2021-11-01 06:00:00;5001401.0;0.625
2021-11-01 06:00:00;73054401.0;3.1875
2021-11-01 06:00:00;73054402.0;3.125
2021-11-01 06:00:00;73054403.0;4.625
2021-11-01 06:00:00;73054404.0;4.625
2021-11-01 06:00:00;73054407.0;4.25
2021-11-01 06:00:00;73054408.0;1.5
2021-11-01 06:00:00;5026001.0;3.125
2021-11-01 06:00:00;84087001.0;18.3125
2021-11-01 06:00:00;73079002.0;21.6875
2021-11-01 06:00:00;5085403.0;1.75
2021-11-01 06:00:00;6088400.0;3.1875
2021-11-01 06:00:00;73023001.0;0.375
2021-11-01 06:00:00;74056401.0;3.5625
2021-11-01 06:00:00;74056402.0;4.25
2021-11-01 06:00:00;5110001.0;6.25
2021-11-01 06:00:00;73206003.0;1.625
2021-11-01 06:00:00;74033400.0;9.5
2021-11-01 06:00:00;26059001.0;19.6875
2021-11-01 06:00:00;6091003.0;24.5
2021-11-01 06:00:00;38185401.0;17.8125
2021-11-01 06:00:00;38005001.0;15.375
2021-11-01 06:00:00;74056407.0;3.1875
2021-11-01 06:00:00;73034002.0;8.5
2021-11-01 06:00:00;73034007.0;6.625
2021-11-01 06:00:00;73034008.0;5.5625
2021-11-01 06:00:00;73306401.0;0.8125
2021-11-01 06:00:00;73306403.0;2.125
2021-11-01 06:00:00;73306404.0;2.125
2021-11-01 06:00:00;38191400.0;11.8125
2021-11-01 06:00:00;38191401.0;11.375
2021-11-01 06:00:00;38191405.0;8.375
2021-11-01 06:00:00;38191408.0;7.6875
2021-11-01 06:00:00;38191409.0;7.6875
2021-11-01 06:00:00;38191410.0;7.9375
2021-11-01 06:00:00;74056001.0;3.1875
2021-11-01 06:00:00;38472002.0;28.75
2021-11-01 06:00:00;74056005.0;4.25
2021-11-01 06:00:00;74056006.0;3.4375
2021-11-01 06:00:00;38002401.0;12.25
2021-11-01 06:00:00;205000419.0;0.25
2021-11-01 06:00:00;73304404.0;0.875
