x,y,rr
6.46887,45.24935,293.90000000000003
6.48155,45.248329999999996,263.2
6.49423,45.24731,217.7
6.35332,45.24945,284.09999999999997
6.366,45.24845,300.4000000000001
6.37868,45.24745,311.5
6.39136,45.24645,306.0
6.40404,45.24544,299.3
6.41672,45.244440000000004,266.09999999999997
6.4294,45.24343,360.8
6.442080000000001,45.24242,334.8
6.45476,45.241409999999995,269.4
6.46743,45.240390000000005,249.40000000000003
6.48011,45.23938,237.69999999999996
6.49279,45.23836,230.09999999999994
6.23776,45.249390000000005,364.09999999999985
6.25044,45.2484,346.29999999999995
6.26313,45.24742,328.49999999999994
6.27581,45.24644,309.79999999999995
6.2885,45.24545,318.4
6.3011800000000004,45.24446,318.59999999999997
6.31386,45.24347,285.40000000000003
6.3265400000000005,45.24248,288.09999999999997
6.33922,45.24149,345.30000000000007
6.3519,45.24049,367.99999999999994
6.36458,45.23949,389.30000000000007
6.37726,45.238490000000006,286.7
6.38994,45.23749,340.99999999999994
6.40262,45.23649,349.8
6.4153,45.235479999999995,278.9
6.427969999999999,45.23447,281.9999999999999
6.44065,45.23346,277.99999999999994
6.45332,45.23245,249.6
6.466,45.23144,291.70000000000005
6.47867,45.23042,252.1
6.49134,45.2294,146.30000000000004
6.1222,45.249159999999996,237.09999999999997
6.13489,45.24819,239.79999999999993
6.1475800000000005,45.24723,264.20000000000005
6.16027,45.24626,363.0
6.17295,45.2453,418.99999999999983
6.18564,45.24433,437.7
6.19832,45.24335,408.59999999999985
6.21101,45.24238,407.00000000000006
6.22369,45.2414,375.1999999999999
6.23637,45.24042,355.9999999999999
6.24906,45.23944,333.1
6.2617400000000005,45.238459999999996,314.3999999999999
6.27442,45.23748,299.19999999999993
6.2871,45.23649,288.7
6.29978,45.2355,281.09999999999997
6.31246,45.23451,295.8999999999999
6.32514,45.23352,305.49999999999994
6.33782,45.23253,335.7
6.35049,45.23153,386.5
6.363169999999999,45.23053,377.69999999999993
6.37585,45.22953,396.8000000000001
6.38852,45.22853,308.09999999999997
6.4012,45.22753,314.09999999999997
6.413869999999999,45.22652,317.4
6.42654,45.22552,249.1
6.43922,45.224509999999995,272.7
6.451890000000001,45.223490000000005,264.40000000000003
6.46456,45.22248,260.7
6.4772300000000005,45.22146,183.5
6.4899,45.22045,83.30000000000001
6.00665,45.24876,377.19999999999993
6.019340000000001,45.247820000000004,247.50000000000006
6.032030000000001,45.24687,194.3
6.04472,45.24593,151.69999999999996
6.05741,45.24498,120.5
6.0701,45.24402,233.59999999999997
6.0827800000000005,45.24307,254.4
6.09547,45.24211,227.3
6.10816,45.24115,218.00000000000006
6.12084,45.240190000000005,222.29999999999998
6.13353,45.23923,255.7
6.14621,45.23827,316.7
6.1589,45.2373,414.2
6.1715800000000005,45.23633,419.8
6.18426,45.23536,429.2999999999999
6.19695,45.234390000000005,410.7000000000001
6.209630000000001,45.23342,382.6
6.22231,45.232440000000004,371.50000000000006
6.23499,45.23147,363.0000000000001
6.247669999999999,45.23049,305.2
6.26035,45.2295,303.9
6.27302,45.22852,305.7
6.2857,45.22753,283.09999999999997
6.29838,45.22655,295.8999999999999
6.3110599999999994,45.225559999999994,299.99999999999994
6.32373,45.22456,342.90000000000003
6.33641,45.22357,346.0000000000001
6.349080000000001,45.22258,365.00000000000006
6.361759999999999,45.221579999999996,372.0000000000001
6.37443,45.22058,325.79999999999995
6.3871,45.21958,335.5
6.399769999999999,45.21857,339.49999999999994
6.41245,45.21757,254.79999999999995
6.42512,45.21656,248.59999999999997
6.437790000000001,45.21555,235.09999999999997
6.45046,45.21454,247.49999999999997
6.4631300000000005,45.21353,226.10000000000005
6.47579,45.212509999999995,252.89999999999995
6.48846,45.211490000000005,190.09999999999997
6.005319999999999,45.2398,360.4
6.018,45.238859999999995,359.3
6.03069,45.23791,332.00000000000006
6.04338,45.236959999999996,268.5
6.0560599999999996,45.23601,228.89999999999995
6.06875,45.23506,164.6
6.08143,45.23411,219.09999999999997
6.094119999999999,45.23315,168.9
6.1068,45.23219,196.59999999999997
6.11948,45.23123,231.89999999999998
6.1321699999999995,45.230270000000004,300.99999999999994
6.14485,45.22931,344.1
6.15753,45.22834,391.1
6.17021,45.22737,398.6
6.18289,45.2264,283.49999999999994
6.19557,45.225429999999996,403.50000000000006
6.20825,45.22446,375.0
6.22093,45.22348,359.00000000000006
6.2336,45.22251,355.1000000000001
6.2462800000000005,45.22153,333.0
6.25896,45.22054,286.5999999999999
6.27163,45.219559999999994,249.50000000000003
6.28431,45.218579999999996,323.4999999999999
6.2969800000000005,45.21759,265.4
6.30965,45.2166,299.40000000000003
6.32233,45.21561,336.69999999999993
6.335,45.21461,340.2
6.34767,45.21362,348.50000000000006
6.36034,45.21262,379.6000000000001
6.37301,45.21162,365.80000000000007
6.385680000000001,45.21062,347.9
6.39835,45.20962,271.79999999999995
6.41102,45.20861,256.00000000000006
6.423690000000001,45.2076,240.6
6.43636,45.2066,201.2
6.4490300000000005,45.20558,201.4
6.46169,45.204570000000004,210.70000000000002
6.47436,45.203559999999996,254.7999999999999
6.487019999999999,45.20254,184.39999999999998
6.49969,45.20152,201.20000000000002
6.00398,45.23084,355.1000000000001
6.0166699999999995,45.229890000000005,329.9
6.02935,45.22895,338.29999999999995
6.0420300000000005,45.228,268.9
6.05472,45.22705,267.6
6.0674,45.2261,211.8
6.080080000000001,45.22514,251.70000000000002
6.09276,45.22419,234.4
6.10544,45.22323,217.19999999999996
6.118119999999999,45.22227,270.1
6.1308,45.221309999999995,358.8
6.14348,45.22035,412.20000000000005
6.15616,45.21938,392.80000000000007
6.16884,45.21841,361.4999999999999
6.18152,45.21744,268.09999999999997
6.19419,45.21647,252.8000000000001
6.206869999999999,45.2155,299.5
6.21954,45.21452,342.09999999999997
6.23222,45.21355,338.59999999999997
6.24489,45.21257,337.9
6.257569999999999,45.21159,329.4
6.27024,45.2106,316.2
6.28291,45.20962,250.49999999999991
6.29558,45.20863,258.79999999999995
6.30825,45.207640000000005,295.5
6.32092,45.20665,313.50000000000006
6.33359,45.205659999999995,335.49999999999994
6.34626,45.20466,336.40000000000003
6.35893,45.20367,347.7000000000001
6.3716,45.20267,352.50000000000006
6.38427,45.20167,299.30000000000007
6.39693,45.20066,275.2
6.4096,45.199659999999994,219.8
6.42226,45.19865,210.49999999999994
6.4349300000000005,45.19764,234.9
6.44759,45.19663,219.8
6.46026,45.19562,258.4999999999999
6.472919999999999,45.1946,223.00000000000003
6.485580000000001,45.19359,281.5999999999999
6.49824,45.19257,319.9
6.00265,45.22187,275.3
6.0153300000000005,45.220929999999996,254.1
6.02801,45.21998,244.8
6.040690000000001,45.21904,226.5
6.05337,45.218090000000004,247.0
6.06605,45.21714,241.59999999999994
6.07873,45.21618,256.69999999999993
6.09141,45.21523,274.20000000000005
6.10409,45.21427,247.59999999999997
6.11677,45.21331,284.3
6.12944,45.21235,388.1
6.142119999999999,45.21139,425.7000000000001
6.15479,45.21042,382.7
6.16747,45.20945,260.50000000000006
6.18014,45.20848,257.49999999999994
6.192819999999999,45.20751,248.89999999999998
6.20549,45.206540000000004,309.1000000000001
