num_poste;lons;lats;rr_radar;rr_nivometeo;freq_error;biais;nb_days;rmse;ratio
4006400;6.561667;44.289833;24.3359375;26.925;25.0;-2.5890625000000007;72;8.989701681820426;0.9038416898792944
4019404;6.584666999999999;44.36000000000001;21.09375;22.03333333333333;50.0;-0.9395833333333314;72;10.017501611762619;0.957356278366112
4073400;6.695;44.34383300000001;20.270833333333332;20.76666666666667;33.33333333333333;-0.4958333333333371;72;7.4242809696742125;0.9761235955056178
4193400;6.8433329999999994;44.593;25.110000610351562;22.32;40.0;2.790000610351562;72;6.199299828156149;1.1250000273455
5001400;6.947;44.792833;2.53125;14.4;0.0;-11.86875;72;12.047694929944068;0.17578125
5026400;6.776167;44.671167000000004;22.269642421177455;24.885714285714283;57.14285714285714;-2.6160718645368277;72;7.9763838008614725;0.8948765611265339
5061400;6.084333;44.6215;23.85;28.919999999999995;40.0;-5.069999999999993;72;9.639570140830969;0.8246887966804981
5064403;6.195333000000001;44.80999999999999;25.858593940734863;27.243749999999995;87.5;-1.3851560592651317;72;3.393166979876012;0.9491569237250698
5079400;6.501;44.949833000000005;8.4375;15.016666666666667;0.0;-6.5791666666666675;72;8.225031661539871;0.5618756936736958
5085403;6.719499999999999;44.938167;13.225;17.18;40.0;-3.955;72;5.869630524998997;0.769790454016298
5096402;6.316499999999999;44.70933300000001;18.71484375;23.725;37.5;-5.010156250000001;72;7.885941369872242;0.7888237618545837
5098402;6.562833;44.481667;19.1484375;23.325;25.0;-4.176562499999999;72;9.34297080781188;0.8209405144694534
5101400;6.4871669999999995;44.870833000000005;14.242708206176758;24.216666666666665;25.0;-9.973958460489907;72;13.87467511779022;0.5881366086514835
5110400;6.485833000000001;44.818;19.53125;20.880000000000003;20.0;-1.3487500000000026;72;6.592610091041331;0.9354046934865899
5114402;6.352833;44.580667;28.333333333333332;24.900000000000002;33.33333333333333;3.43333333333333;72;10.942101413043718;1.1378848728246318
5119402;6.6441669999999995;44.616667;20.0;21.35;50.0;-1.3500000000000014;72;3.9033839485759017;0.9367681498829039
5133400;6.571333;44.9245;8.775;18.96;0.0;-10.185;72;11.043960453569182;0.46281645569620256
5139405;5.906667;44.6655;25.325520833333332;28.649999999999995;33.33333333333333;-3.324479166666663;72;10.271253768228794;0.8839623327515999
5157400;6.867833;44.705166999999996;14.25;14.8;100.0;-0.5500000000000007;72;0.5500000000000007;0.9628378378378378
6056400;6.753;44.239167;25.0859375;31.375;75.0;-6.2890625;72;9.050760176119185;0.7995517928286853
6073405;7.148999999999999;44.1895;17.9312498304579;28.77777777777778;22.22222222222222;-10.846527947319878;72;13.017089913716415;0.623093623452205
6120400;6.9135;44.215332999999994;21.089285714285715;28.75714285714286;42.857142857142854;-7.6678571428571445;72;11.31444438696458;0.733358171882762
38006400;6.123833;45.3895;13.058035714285714;19.72142857142857;21.428571428571427;-6.663392857142858;72;8.71097099208808;0.662124230351322
38020400;6.076332999999999;45.057167;18.513392857142858;22.47142857142857;28.57142857142857;-3.958035714285714;72;5.931561409859007;0.8238636363636364
38186400;5.547167;44.893167;7.7;25.920000000000005;0.0;-18.220000000000006;72;22.67090508779921;0.29706790123456783
38191400;6.072833000000002;45.097667;19.48263888888889;25.638888888888886;33.33333333333333;-6.1562499999999964;72;12.255840090317939;0.7598862405200435
38191408;6.0975;45.105;13.9;26.639999999999997;40.0;-12.739999999999997;72;16.57974668081512;0.5217717717717718
38205400;5.609167;45.1115;17.6125;27.380000000000003;0.0;-9.767500000000002;72;10.186892619930772;0.6432615047479912
38253400;6.171833;44.996666999999995;19.508928571428573;17.242857142857144;28.57142857142857;2.266071428571429;72;13.047662454850459;1.1314208782104391
38264400;5.862499999999999;45.020832999999996;14.852678571428571;19.75714285714286;14.285714285714285;-4.904464285714289;72;9.67777536097527;0.7517624728850324
38289401;6.071666999999999;45.128167000000005;21.558035714285715;26.714285714285715;42.857142857142854;-5.15625;72;7.152954637395854;0.8069852941176471
38375400;6.188333;44.946667000000005;22.939423194298378;20.876923076923074;69.23076923076923;2.062500117375304;72;4.508262904420868;1.0987932996532017
38442400;5.8465;45.34499999999999;18.133928571428573;18.52857142857143;14.285714285714285;-0.3946428571428555;72;11.035625649782746;0.9787008481110255
38527400;6.097667;45.15883300000001;20.396875;23.65;50.0;-3.253124999999997;72;7.710984707302305;0.8624471458773786
38548400;5.567667;45.024333;12.288461538461538;26.969230769230766;30.76923076923077;-14.680769230769227;72;31.12378473067725;0.4556474614945808
38567407;5.8956669999999995;45.120667;14.16796875;19.85;37.5;-5.682031250000001;72;8.225712651972016;0.7137515743073047
73004400;6.061166999999998;45.642166999999986;17.097916666666666;24.48;13.333333333333334;-7.382083333333334;72;8.640931692869314;0.698444308278867
73015400;6.583333000000001;45.371666999999995;16.805555555555557;15.600000000000001;44.44444444444444;1.2055555555555557;72;5.426539080195487;1.0772792022792024
73024400;6.445166999999999;45.461832999999984;20.9828126695421;23.488888888888887;55.55555555555556;-2.506076219346788;72;6.023273116069222;0.8933080133674499
73034400;6.540499999999998;45.671333000000004;20.95659722222222;24.68888888888889;33.33333333333333;-3.7322916666666686;72;7.482906011602192;0.8488270702070206
73040400;6.995333000000001;45.32066700000001;17.319791793823242;17.575;41.66666666666667;-0.2552082061767571;72;6.055669447423775;0.9854789071876667
73047401;7.057167;45.373667;9.89375;14.6;20.0;-4.706249999999999;72;7.391323566351293;0.6776541095890412
73054401;6.826667;45.573333;17.214285714285715;25.542857142857144;42.857142857142854;-8.32857142857143;72;10.50039114917698;0.6739373601789709
73132400;6.528833000000001;45.758333;17.0;19.791666666666664;41.66666666666667;-2.7916666666666643;72;5.325185834003041;0.8589473684210527
