poste_nivo.num_poste;poste_nivo.nom_usuel;poste_nivo.alti;poste_nivo.lat_dg;poste_nivo.lon_dg;hist_reseau_poste.reseau_poste
73322401;La Norma;1958;45.188500;6.698833;51
74014400;Flaine;1620;46.003500;6.697333;51
74014402;LES CARROZ KEDEUSAZ;1760;46.027667;6.665667;51
74033400;Bernex;1535;46.341167;6.708167;51
74056400;CHAMONIX-OBS;1025;45.917833;6.866167;51
74056402;LE TOUR NIVO;1478;46.002333;6.947333;51
74056416;Lognan;1970;45.968333;6.942833;51
74056417;LA FLEGERE;1850;45.962500;6.889167;51
74056418;LE TOUR BALME;2196;46.020833;6.970833;51
74056419;PLAN AIGUILLE TMB;2310;45.901167;6.885833;51
74063405;CHATEL NIVO;1700;46.225167;6.797167;51
74080403;LA CLUSAZ;1597;45.893500;6.445667;51
74085406;LES CONTAMINES MONTJOIE;1780;45.791833;6.699833;51
74134400;Les Gets;1530;46.165833;6.659167;51
74136400;Le Grand Bornand;1270;45.972000;6.454167;51
74191406;Avoriaz;1768;46.186167;6.779833;51
74270400;Seythenex;1159;45.713000;6.276333;51
74286400;VACHERESSE AUXI;790;46.315333;6.673333;51
99130005;ANDORRE-LA-VIEILLE;1105;42.511667;1.533333;64
99130007;SALINES;1480;42.610667;1.538000;64
99130401;Pas de la Case (Piste);2135;42.539333;1.733167;64
99130402;PAS DE LA CASE -S-;2360;42.528000;1.729333;64
99130403;Pal;1898;42.537500;1.490000;64
99130404;Pal -S-;2307;42.535333;1.452833;64
99130405;Arcalis Nord;2055;42.628000;1.499667;64
99130406;Arcalis Nord -S-;2105;42.625333;1.495667;64
99130408;Arinsal;1943;42.574000;1.470667;64
99130409;Arinsal -S-;2436;42.569667;1.445333;64
99130411;Soldeu -S-;2448;42.556667;1.655000;64
99130412;Grau Roig;2152;42.530667;1.701000;64
99130413;Grau Roig -S-;2330;42.528667;1.710333;64
99130415;Arinsal Aspres -S-;2400;42.580000;1.470000;64
99130416;Grau Roig Cubil -S-;2341;42.531000;1.685000;64
99130418;OCCASIONNEL AVAL ANDORRE -S-;2000;42.740000;2.875000;64
99130419;ENQUETE AVALANCHE ANDORRE -S-;2000;42.740000;2.875000;64
99130421;SOLDEU_EL TARTER;2460;42.556667;1.655000;64
99130422;LA RABASSA;2035;42.433833;1.524167;64
99130423;LA RABASSA-S-;2145;42.434667;1.536167;64
